SHEET 1 — SQL UPGRADE CHECKLIST (CSV)
Step,Category,Task,Expected Result,Actual Result,Pass/Fail,Notes
1,Pre‑Checks,Run Pre‑Upgrade Scan,No warnings or only acceptable warnings,,,
2,Pre‑Checks,Run Driver Scan,No incompatible filter drivers,,,
3,Pre‑Checks,Check Pending Reboot,No reboot pending,,,
4,Pre‑Checks,Check Disk Space,Enough free space for in‑place upgrade,,,
5,Pre‑Checks,Verify SQL Backups,All DBs backed up successfully,,,
6,Pre‑Checks,Verify SQL Agent Jobs,All critical jobs succeeded,,,
7,Pre‑Flight,Run PreFlightBackup.ps1,Backup folder created with certs, RDS (if any), IIS, logs,,,
8,Snapshot,Create Hyper‑V Snapshot,Snapshot created successfully,,,
9,Upgrade,Run Server 2025 Setup,Upgrade completes with no errors,,,
10,Post‑Upgrade,Run PostUpgradeRestore.ps1,Certs restored, RDS licensing restored (if present),,,
11,Post‑Upgrade,Check SQL Services,SQL services running normally,,,
12,Post‑Upgrade,Run DBCC CHECKDB,No corruption detected,,,
13,Post‑Upgrade,Test Application Connectivity,Apps connect to SQL successfully,,,
14,Defender,Install Defender MSI,AV + EDR installed,,,
15,Defender,Run DefenderHealthScore.ps1,Score ≥ 4/5,,,
16,Hardening,Run Hardening2025.ps1,Settings applied successfully,,,
17,Validation,Check Event Logs,No critical errors,,,
18,Validation,Verify Backups Resume,Backup jobs run successfully,,,
19,Validation,Remove Snapshot (optional),Snapshot removed after validation,,,
SHEET 2 — RDS UPGRADE CHECKLIST (CSV)
Step,Category,Task,Expected Result,Actual Result,Pass/Fail,Notes
1,Pre‑Checks,Run Pre‑Upgrade Scan,No warnings or only acceptable warnings,,,
2,Pre‑Checks,Run Driver Scan,No incompatible filter drivers,,,
3,Pre‑Checks,Check Pending Reboot,No reboot pending,,,
4,Pre‑Checks,Check Disk Space,Enough free space for in‑place upgrade,,,
5,Pre‑Flight,Run PreFlightBackup.ps1,Backup folder created with certs, RDS deployment, RDS licensing, IIS,,,
6,Snapshot,Create Hyper‑V Snapshot,Snapshot created successfully,,,
7,Upgrade,Run Server 2025 Setup,Upgrade completes with no errors,,,
8,Post‑Upgrade,Run PostUpgradeRestore.ps1,Certs restored, RDS licensing restored,,,
9,RDS,Check Connection Broker,CB service healthy,,,
10,RDS,Check Session Host,Sessions accepted,,,
11,RDS,Check RDWeb,RDWeb loads successfully,,,
12,RDS,Check RD Gateway (if used),Gateway accepts connections,,,
13,RDS,Check Licensing,Server issues CALs,,,
14,RDS,Check FSLogix (if used),Profiles mount/unmount cleanly,,,
15,Defender,Install Defender MSI,AV + EDR installed,,,
16,Defender,Run DefenderHealthScore.ps1,Score ≥ 4/5,,,
17,Hardening,Run Hardening2025.ps1,Settings applied successfully,,,
18,Validation,Test User Login,User can log in via RDS,,,
19,Validation,Check Event Logs,No critical RDS/TerminalServices errors,,,
20,Validation,Remove Snapshot (optional),Snapshot removed after validation,,,
SHEET 3 — DEFENDER + HARDENING VALIDATION (CSV)
Step,Category,Task,Expected Result,Actual Result,Pass/Fail,Notes
1,Defender,Verify WinDefend Service,Running,,,
2,Defender,Verify Sense Service,Running,,,
3,Defender,Check Platform Folder,Latest platform version present,,,
4,Defender,Check Signature Age,Updated within 7 days,,,
5,Defender,Check Cloud Connectivity,Outbound 443 OK,,,
6,Defender,Check Defender Events,Operational events present,,,
7,Defender,Run DefenderHealthScore.ps1,Score ≥ 4/5,,,
8,Hardening,Check TLS Settings,TLS 1.2 enabled, 1.0/1.1 disabled,,,
9,Hardening,Check SMBv1,Disabled,,,
10,Hardening,Check RDP NLA,Enabled,,,
11,Hardening,Check ASR Rules,ASR rules in audit mode,,,
12,Hardening,Check Network Protection,Enabled,,,
13,Hardening,Check MAPS/Cloud Protection,Enabled,,,
14,Validation,Check Event Logs,No critical security errors,,,
SHEET 4 — DC DEMOTION READINESS (CSV)
Step,Category,Task,Expected Result,Actual Result,Pass/Fail,Notes
1,FSMO,Check FSMO Roles,All FSMO roles on DC25,,,
2,Global Catalog,Check GC Servers,DC25 listed as GC,,,
3,Replication,Run repadmin /replsummary,No fails, no high latency,,,
4,DNS,Run dcdiag /test:DNS,All tests pass,,,
5,SYSVOL,Run dcdiag /test:SYSVOLCHECK,SYSVOL healthy,,,
6,Domain Controllers,List DCs,Only DC25 + old DC,,,
7,DNS Clients,Check DNS Settings,All servers/clients use DC25 as primary,,,
8,Health,Check Event Logs,No AD/DNS/SYSVOL critical errors,,,
9,Final,Check Backup of Old DC,Backup exists before demotion,,,
10,Demotion,Run dcpromo / demote,Completes successfully,,,
11,Cleanup,Remove old DC from Sites & Services,Old DC removed,,,
12,Cleanup,Remove old DC DNS records,Records removed,,,
13,Cleanup,Remove old DC computer object,Object removed,,,


